#.t	H2O	S_ALK	S_I	S_ND	S_NH	S_NO	S_O	S_S	X_BA	X_BH	X_I	X_ND	X_P	X_S
#d	m3/d	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3	g/m3
2.42708	26842	30	30	6.827595	29.79539	0.001	0.001	68.27595	0.001	22.702	51.378	8.535	0.001	152.939
2.4375	28519	30	30	6.703307	29.23881	0.001	0.001	67.03307	0.001	25.043	59.827	9.415	0.001	165.562
2.44792	30707	30	30	6.676507	28.52221	0.001	0.001	66.76507	0.001	27.784	70.934	10.445	0.001	179.123
2.45833	31000	30	30	6.707967	27.95867	0.001	0.001	67.07967	0.001	30.705	79.066	11.543	0.001	197.282
2.46875	31009	30	30	6.808952	28.12564	0.001	0.001	68.08952	0.001	33.687	86.766	12.664	0.001	216.416
2.47917	30713	30	30	6.872261	27.55166	0.001	0.001	68.72261	0.001	36.294	92.678	13.644	0.001	233.97
2.48958	27093	30	30	6.831479	27.4647	0.001	0.001	68.31479	0.001	38.482	87.816	14.467	0.001	258.525
2.5	25812	30	30	6.516874	26.45589	0.001	0.001	65.16874	0.001	40.202	87.877	15.113	0.001	273.937
2.51042	25808	30	30	6.164516	26.1776	0.001	0.001	61.64516	0.001	40.568	88.664	15.251	0.001	276.448
2.52083	24748	30	30	5.976219	26.28891	0.001	0.001	59.76219	0.001	40.47	85.233	15.214	0.001	278.994
2.53125	24677	30	30	5.894655	26.78984	0.001	0.001	58.94655	0.001	40.268	84.593	15.138	0.001	277.82
2.54167	21745	30	30	5.938933	27.29076	0.001	0.001	59.38933	0.001	39.761	74.785	14.948	0.001	283.068
2.55208	25678	30	30	6.021274	27.12379	0.001	0.001	60.21274	0.001	39.624	86.217	14.896	0.001	270.4
2.5625	25062	30	30	6.242663	27.42295	0.001	0.001	62.42662	0.001	38.393	81.765	14.434	0.001	263.773
2.57292	23552	30	30	6.586786	28.33436	0.001	0.001	65.86786	0.001	39	78.638	14.662	0.001	272.359
2.58333	22693	30	30	6.561928	28.2787	0.001	0.001	65.61928	0.001	39.128	76.377	14.71	0.001	275.771
2.59375	20001	30	30	6.400353	27.7082	0.001	0.001	64.00353	0.001	38.65	67.64	14.53	0.001	280.213
2.60417	18269	30	30	5.954469	26.68548	0.001	0.001	59.54469	0.001	37.996	61.559	14.284	0.001	280.401
2.61458	24508	30	30	5.834064	26.57068	0.001	0.001	58.34064	0.001	36.495	76.206	13.72	0.001	252.254
2.625	22354	30	30	5.733857	26.62286	0.001	0.001	57.33857	0.001	34.549	66.56	12.988	0.001	244.38
2.63542	20755	30	30	5.86902	27.4647	0.001	0.001	58.6902	0.001	35.593	64.302	13.381	0.001	256.031
2.64583	21824	30	30	6.046908	28.33436	0.001	0.001	60.46908	0.001	35.394	66.782	13.306	0.001	251.767
2.65625	17785	30	30	6.325004	29.26664	0.001	0.001	63.25004	0.001	34.645	54.873	13.024	0.001	256.932
2.66667	17047	30	30	6.237225	30.63027	0.001	0.001	62.37225	0.001	34.477	52.698	12.961	0.001	257.595
2.67708	18755	30	30	6.221689	30.58853	0.001	0.001	62.21689	0.001	32.832	54.391	12.343	0.001	241.096
2.6875	18708	30	30	6.201492	28.16043	0.001	0.001	62.01492	0.001	31.174	51.534	11.72	0.001	229.032
2.69792	19125	30	30	6.641162	29.79539	0.001	0.001	66.41162	0.001	30.501	51.376	11.467	0.001	223.134
2.70833	18535	30	30	6.718843	29.82322	0.001	0.001	67.18843	0.001	29.877	49.002	11.232	0.001	219.893
2.71875	18029	30	30	6.847015	30.30328	0.001	0.001	68.47015	0.001	29.666	47.53	11.153	0.001	219.462
2.72917	17772	30	30	7.188808	32.13305	0.001	0.001	71.88808	0.001	29.227	46.263	10.987	0.001	216.778
2.73958	18093	30	30	7.564393	33.77149	0.001	0.001	75.64392	0.001	28.684	46.093	10.783	0.001	212.061
2.75	18205	30	30	7.744222	34.30373	0.001	0.001	77.44222	0.001	27.976	45.193	10.517	0.001	206.595
2.76042	18209	30	30	8.008335	35.63953	0.001	0.001	80.08335	0.001	27.704	44.76	10.415	0.001	204.573
2.77083	18193	30	30	8.260408	36.06393	0.001	0.001	82.60408	0.001	27.488	44.379	10.334	0.001	203.012
2.78125	22437	30	30	8.383531	35.93174	0.001	0.001	83.83531	0.001	27.293	52.753	10.261	0.001	192.888
2.79167	21842	30	30	8.421983	35.45168	0.001	0.001	84.21983	0.001	27.118	51.204	10.195	0.001	192.862
2.80208	21390	30	30	8.3377	35.69519	0.001	0.001	83.377	0.001	28.409	52.676	10.68	0.001	203.001
2.8125	21824	30	30	8.199584	35.62561	0.001	0.001	81.99584	0.001	29.15	55	10.959	0.001	207.353
2.82292	18403	30	30	8.014161	35.37863	0.001	0.001	80.14161	0.001	29.605	48.263	11.13	0.001	218.184
2.83333	20104	30	30	7.775295	34.9438	0.001	0.001	77.75294	0.001	30.16	53.015	11.338	0.001	218.421
2.84375	23390	30	30	7.562451	34.14371	0.001	0.001	75.6245	0.001	29.44	59.006	11.068	0.001	205.953
2.85417	21850	30	30	7.187255	32.70355	0.001	0.001	71.87255	0.001	29.558	55.828	11.112	0.001	210.192
2.86458	22120	30	30	6.945669	31.46515	0.001	0.001	69.45669	0.001	30.779	58.757	11.571	0.001	218.258
2.875	21151	30	30	6.749915	30.68245	0.001	0.001	67.49915	0.001	31.147	57.197	11.709	0.001	223.126
2.88542	18582	30	30	6.363455	30.24762	0.001	0.001	63.63455	0.001	31.573	51.896	11.87	0.001	232.263
2.89583	25345	30	30	6.167313	30.21283	0.001	0.001	61.67313	0.001	31.59	67.948	11.876	0.001	216.367
2.90625	23343	30	30	6.171973	31.04771	0.001	0.001	61.71973	0.001	30.735	61.492	11.554	0.001	215.122
2.91667	22372	30	30	6.216018	31.67387	0.001	0.001	62.16018	0.001	32.52	62.695	12.226	0.001	229.984
2.92708	21725	30	30	6.457526	33.15925	0.001	0.001	64.57526	0.001	33.086	62.182	12.438	0.001	235.595
2.9375	17083	30	30	6.784871	35.11773	0.001	0.001	67.84871	0.001	33.228	50.88	12.492	0.001	248.174
2.94792	24968	30	30	7.214054	37.86587	0.001	0.001	72.14054	0.001	33.159	70.384	12.466	0.001	228.05
2.95833	22540	30	30	7.247069	37.86587	0.001	0.001	72.47069	0.001	31.474	61.074	11.832	0.001	222.19
2.96875	23343	30	30	6.97643	36.8501	0.001	0.001	69.7643	0.001	33.095	66.215	12.442	0.001	231.641
2.97917	21738	30	30	6.749915	36.47441	0.001	0.001	67.49915	0.001	33.326	62.664	12.529	0.001	237.269
2.98958	19429	30	30	6.283833	34.38721	0.001	0.001	62.83833	0.001	33.824	57.742	12.716	0.001	246.671
3	17915	30	30	6.224019	34.67942	0.001	0.001	62.24019	0.001	33.637	53.606	12.646	0.001	249.128
3.01042	18156	30	30	5.374197	32.06695	0.001	0.001	53.74197	0.001	32.706	52.713	12.295	0.001	241.638
3.02083	18561	30	30	5.444886	29.89975	0.001	0.001	54.44886	0.001	31.496	51.718	11.84	0.001	231.743
3.03125	22713	30	30	5.006769	27.06813	0.001	0.001	50.06769	0.001	30.673	59.919	11.531	0.001	216.138
3.04167	21366	30	30	4.635457	24.70265	0.001	0.001	46.35457	0.001	30.149	55.851	11.334	0.001	215.491
3.05208	22596	30	30	4.435819	23.38772	0.001	0.001	44.35819	0.001	31.158	60.593	11.713	0.001	219.829
3.0625	22452	30	30	4.257931	22.19802	0.001	0.001	42.57931	0.001	31.354	60.637	11.787	0.001	221.552
3.07292	14847	30	30	4.000033	20.31607	0.001	0.001	40.00033	0.001	31.946	43.559	12.01	0.001	243.955
3.08333	15033	30	30	4.038873	20.54218	0.001	0.001	40.38873	0.001	32.343	44.552	12.159	0.001	246.537
3.09375	15055	30	30	4.077713	20.71611	0.001	0.001	40.77713	0.001	29.966	41.327	11.265	0.001	228.366
3.10417	14496	30	30	4.046641	20.7509	0.001	0.001	40.46641	0.001	28.349	37.909	10.658	0.001	217.234
3.11458	14056	30	30	4.083539	20.66393	0.001	0.001	40.83539	0.001	27.103	35.348	10.189	0.001	208.576
3.125	12345	30	30	4.046641	20.61175	0.001	0.001	40.46641	0.001	25.891	30.444	9.734	0.001	202.577
3.13542	12344	30	30	4.050525	20.54218	0.001	0.001	40.50525	0.001	24.748	29.098	9.304	0.001	193.631
3.14583	11274	30	30	4.052467	20.43782	0.001	0.001	40.52467	0.001	23.555	25.807	8.855	0.001	186.192
3.15625	10981	30	30	4.031105	20.40303	0.001	0.001	40.31105	0.001	22.247	23.885	8.364	0.001	176.341
3.16667	10448	30	30	4.011685	20.15953	0.001	0.001	40.11685	0.001	20.828	21.528	7.83	0.001	165.922
3.17708	10000	30	30	4.004694	20.02734	0.001	0.001	40.04693	0.001	19.577	19.577	7.36	0.001	156.614
3.1875	11190	30	30	4.034212	19.99951	0.001	0.001	40.34212	0.001	18.365	20.004	6.904	0.001	145.276
3.19792	10412	30	30	4.058293	20.10039	0.001	0.001	40.58293	0.001	17.211	17.743	6.47	0.001	137.154
3.20833	10923	30	30	4.089365	20.40303	0.001	0.001	40.89365	0.001	16.61	17.76	6.244	0.001	131.73
3.21875	11182	30	30	4.116553	20.82047	0.001	0.001	41.16553	0.001	15.818	17.22	5.946	0.001	125.139
3.22917	11646	30	30	4.186465	21.16834	0.001	0.001	41.86465	0.001	15.293	17.181	5.749	0.001	120.453
3.23958	11478	30	30	4.242395	21.6136	0.001	0.001	42.42395	0.001	14.898	16.549	5.601	0.001	117.53
3.25	12009	30	30	4.394649	22.1354	0.001	0.001	43.94649	0.001	14.674	16.885	5.517	0.001	115.181
3.26042	12439	30	30	4.877432	24.68178	0.001	0.001	48.77431	0.001	14.407	17.043	5.416	0.001	112.621
3.27083	11323	30	30	5.988648	29.65625	0.001	0.001	59.88648	0.001	14.325	15.747	5.385	0.001	113.177
3.28125	11370	30	30	7.146084	34.24807	0.001	0.001	71.46084	0.001	14.362	15.837	5.399	0.001	113.417
3.29167	11977	30	30	8.000567	37.93544	0.001	0.001	80.00567	0.001	14.052	16.136	5.283	0.001	110.334
3.30208	12298	30	30	9.490087	43.39692	0.001	0.001	94.90087	0.001	13.821	16.203	5.196	0.001	108.188
3.3125	11419	30	30	10.57761	46.61468	0.001	0.001	105.7761	0.001	13.805	15.275	5.19	0.001	108.974
3.32292	11624	30	30	11.52104	49.24802	0.001	0.001	115.2104	0.001	13.873	15.563	5.215	0.001	109.293
3.33333	11656	30	30	12.0011	49.99941	0.001	0.001	120.011	0.001	13.666	15.364	5.138	0.001	107.634
3.34375	11409	30	30	11.89701	49.24802	0.001	0.001	118.9701	0.001	13.565	14.998	5.1	0.001	107.09
3.35417	12704	30	30	11.21109	45.74154	0.001	0.001	112.1109	0.001	13.489	16.225	5.071	0.001	105.178
3.36458	12223	30	30	10.24553	40.85751	0.001	0.001	102.4553	0.001	13.353	15.579	5.02	0.001	104.595
3.375	12076	30	30	9.481154	39.03469	0.001	0.001	94.81153	0.001	13.613	15.732	5.118	0.001	106.783
3.38542	15040	30	30	8.837961	36.8501	0.001	0.001	88.37961	0.001	13.672	18.841	5.14	0.001	104.21
3.39583	22202	30	30	8.12874	34.24807	0.001	0.001	81.2874	0.001	13.684	26.206	5.144	0.001	96.946
3.40625	22948	30	30	7.57721	32.16088	0.001	0.001	75.7721	0.001	14.555	28.69	5.472	0.001	102.308
3.41667	23950	30	30	7.037332	30.77985	0.001	0.001	70.37332	0.001	17.331	35.464	6.515	0.001	120.515
3.42708	26314	30	30	6.827595	29.79539	0.001	0.001	68.27595	0.001	19.838	44.11	7.458	0.001	134.429
3.4375	28447	30	30	6.703307	29.23881	0.001	0.001	67.03307	0.001	22.329	53.221	8.394	0.001	147.737
3.44792	30682	30	30	6.676507	28.52221	0.001	0.001	66.76507	0.001	25.276	64.483	9.502	0.001	162.997
3.45833	30926	30	30	6.707967	27.95867	0.001	0.001	67.07967	0.001	28.537	73.324	10.728	0.001	183.51
3.46875	30720	30	30	6.808952	28.12564	0.001	0.001	68.08952	0.001	32.1	81.984	12.068	0.001	206.917
3.47917	30737	30	30	6.872261	27.55166	0.001	0.001	68.72261	0.001	35.2	89.945	13.233	0.001	226.854
3.48958	30540	30	30	6.831479	27.4647	0.001	0.001	68.31479	0.001	37.745	95.892	14.19	0.001	243.816
3.5	29790	30	30	6.516874	26.45589	0.001	0.001	65.16874	0.001	39.889	99.092	14.996	0.001	259.905
3.51042	26113	30	30	6.164516	26.1776	0.001	0.001	61.64516	0.001	41.596	91.864	15.638	0.001	282.498
3.52083	24983	30	30	5.976219	26.28891	0.001	0.001	59.76219	0.001	42.729	90.745	16.063	0.001	293.814
3.53125	24349	30	30	5.894655	26.78984	0.001	0.001	58.94655	0.001	42.287	87.796	15.897	0.001	292.784
3.54167	23979	30	30	5.938933	27.29076	0.001	0.001	59.38933	0.001	41.662	85.342	15.662	0.001	289.613
3.55208	23658	30	30	6.021274	27.12379	0.001	0.001	60.21274	0.001	41.011	83.021	15.418	0.001	286.076
3.5625	22068	30	30	6.242663	27.42295	0.001	0.001	62.42662	0.001	40.398	76.963	15.187	0.001	286.623
3.57292	24127	30	30	6.586786	28.33436	0.001	0.001	65.86786	0.001	39.81	81.991	14.966	0.001	276.304
3.58333	23345	30	30	6.561928	28.2787	0.001	0.001	65.61928	0.001	38.744	77.522	14.565	0.001	271.172
3.59375	22595	30	30	6.400353	27.7082	0.001	0.001	64.00353	0.001	38.737	75.328	14.563	0.001	273.301
3.60416	21580	30	30	5.954469	26.68548	0.001	0.001	59.54469	0.001	38.356	71.669	14.42	0.001	273.539
3.61458	21228	30	30	5.834064	26.57068	0.001	0.001	58.34064	0.001	37.768	69.572	14.198	0.001	270.336
3.625	21217	30	30	5.733857	26.62286	0.001	0.001	57.33857	0.001	36.931	67.999	13.884	0.001	264.377
3.63541	20623	30	30	5.86902	27.4647	0.001	0.001	58.6902	0.001	36.159	64.969	13.594	0.001	260.463
3.64583	20848	30	30	6.046908	28.33436	0.001	0.001	60.46908	0.001	35.544	64.462	13.362	0.001	255.433
3.65625	20232	30	30	6.325004	29.26664	0.001	0.001	63.25004	0.001	34.816	61.534	13.089	0.001	251.812
3.66666	19893	30	30	6.237225	30.63027	0.001	0.001	62.37225	0.001	34.316	59.776	12.901	0.001	249.066
3.67708	19487	30	30	6.221689	30.58853	0.001	0.001	62.21689	0.001	33.663	57.614	12.655	0.001	245.352
3.6875	18819	30	30	6.201492	28.16043	0.001	0.001	62.01492	0.001	33.012	54.847	12.41	0.001	242.258
3.69791	18441	30	30	6.641162	29.79539	0.001	0.001	66.41162	0.001	32.335	52.804	12.156	0.001	238.209
3.70833	18045	30	30	6.718843	29.82322	0.001	0.001	67.18843	0.001	31.546	50.581	11.859	0.001	233.33
3.71875	17864	30	30	6.847015	30.30328	0.001	0.001	68.47015	0.001	30.779	48.934	11.571	0.001	228.081
3.72916	17775	30	30	7.188808	32.13305	0.001	0.001	71.88808	0.001	30.019	47.524	11.285	0.001	222.649
3.73958	18608	30	30	7.564393	33.77149	0.001	0.001	75.64392	0.001	29.338	48.28	11.029	0.001	215.766
3.75	21808	30	30	7.744222	34.30373	0.001	0.001	77.44222	0.001	28.745	54.202	10.806	0.001	204.504
3.76041	20969	30	30	8.008335	35.63953	0.001	0.001	80.08335	0.001	28.54	52.02	10.729	0.001	204.842
3.77083	21559	30	30	8.260408	36.06393	0.001	0.001	82.60408	0.001	29.441	54.964	11.068	0.001	210.002
3.78125	20558	30	30	8.383531	35.93174	0.001	0.001	83.83531	0.001	29.773	53.349	11.193	0.001	214.606
3.79166	19310	30	30	8.421983	35.45168	0.001	0.001	84.21983	0.001	30.249	51.372	11.372	0.001	220.872
3.80208	17043	30	30	8.3377	35.69519	0.001	0.001	83.377	0.001	30.282	46.279	11.384	0.001	226.263
3.8125	17878	30	30	8.199584	35.62561	0.001	0.001	81.99584	0.001	29.912	47.586	11.245	0.001	221.619
3.82291	21360	30	30	8.014161	35.37863	0.001	0.001	80.14161	0.001	28.869	53.465	10.853	0.001	206.36
3.83333	22636	30	30	7.775295	34.9438	0.001	0.001	77.75294	0.001	28.398	55.312	10.676	0.001	200.273
3.84375	22542	30	30	7.562451	34.14371	0.001	0.001	75.6245	0.001	29.217	56.701	10.984	0.001	206.252
3.85416	24225	30	30	7.187255	32.70355	0.001	0.001	71.87255	0.001	30.215	62.45	11.359	0.001	209.482
3.86458	20907	30	30	6.945669	31.46515	0.001	0.001	69.45669	0.001	30.936	56.243	11.63	0.001	222.178
3.875	18809	30	30	6.749915	30.68245	0.001	0.001	67.49915	0.001	32.115	53.334	12.073	0.001	235.703
3.88541	20576	30	30	6.363455	30.24762	0.001	0.001	63.63455	0.001	31.876	57.161	11.984	0.001	229.728
3.89583	25680	30	30	6.167313	30.21283	0.001	0.001	61.67313	0.001	31.042	67.549	11.67	0.001	211.833
3.90625	23444	30	30	6.171973	31.04771	0.001	0.001	61.71973	0.001	31.097	62.452	11.691	0.001	217.42
3.91666	23139	30	30	6.216018	31.67387	0.001	0.001	62.16018	0.001	32.923	65.365	12.377	0.001	230.94
3.92708	23551	30	30	6.457526	33.15925	0.001	0.001	64.57526	0.001	33.453	67.453	12.576	0.001	233.627
3.9375	20895	30	30	6.784871	35.11773	0.001	0.001	67.84871	0.001	33.816	61.449	12.713	0.001	242.897
3.94791	26044	30	30	7.214054	37.86587	0.001	0.001	72.14054	0.001	34.292	75.558	12.892	0.001	233.074
3.95833	24830	30	30	7.247069	37.86587	0.001	0.001	72.47069	0.001	33.721	71.227	12.677	0.001	232.265
3.96875	23966	30	30	6.97643	36.8501	0.001	0.001	69.7643	0.001	35.226	72.124	13.243	0.001	244.907
3.97916	23311	30	30	6.749915	36.47441	0.001	0.001	67.49915	0.001	35.864	71.669	13.483	0.001	251.107
3.98958	22576	30	30	6.283833	34.38721	0.001	0.001	62.83833	0.001	36.081	70.113	13.564	0.001	254.617
4	20411	30	30	6.224019	34.67942	0.001	0.001	62.24019	0.001	36.058	64.213	13.556	0.001	260.313
4.01041	20408	30	30	5.374197	32.06695	0.001	0.001	53.74197	0.001	35.808	63.759	13.462	0.001	258.515
4.02083	18616	30	30	5.444886	29.89975	0.001	0.001	54.44886	0.001	30.827	50.747	11.589	0.001	226.695
4.03125	18359	30	30	5.006769	27.06813	0.001	0.001	50.06769	0.001	30.27	49.249	11.38	0.001	223.186
4.04167	18040	30	30	4.635457	24.70265	0.001	0.001	46.35457	0.001	29.719	47.64	11.172	0.001	219.83
4.05208	17452	30	30	4.435819	23.38772	0.001	0.001	44.35819	0.001	29.059	45.3	10.925	0.001	216.234
4.0625	17034	30	30	4.257931	22.19802	0.001	0.001	42.57931	0.001	29.676	45.332	11.156	0.001	221.752
4.07292	16480	30	30	4.000033	20.31607	0.001	0.001	40.00033	0.001	28.602	42.503	10.753	0.001	214.915
4.08333	15778	30	30	4.038873	20.54218	0.001	0.001	40.38873	0.001	27.556	39.498	10.36	0.001	208.51
4.09375	15863	30	30	4.077713	20.71611	0.001	0.001	40.77713	0.001	26.776	38.551	10.066	0.001	202.435
4.10417	15636	30	30	4.046641	20.7509	0.001	0.001	40.46641	0.001	26.051	37.064	9.794	0.001	197.399
4.11458	14246	30	30	4.083539	20.66393	0.001	0.001	40.83539	0.001	24.946	32.891	9.378	0.001	191.627
4.125	13234	30	30	4.046641	20.61175	0.001	0.001	40.46641	0.001	23.705	29.455	8.912	0.001	183.887
4.13542	12513	30	30	4.050525	20.54218	0.001	0.001	40.50525	0.001	22.453	26.684	8.441	0.001	175.389
4.14583	11946	30	30	4.052467	20.43782	0.001	0.001	40.52467	0.001	21.235	24.333	7.983	0.001	166.781
4.15625	11373	30	30	4.031105	20.40303	0.001	0.001	40.31105	0.001	20.036	22.098	7.532	0.001	158.222
4.16667	11968	30	30	4.011685	20.15953	0.001	0.001	40.11685	0.001	19.243	22.084	7.234	0.001	151.107
4.17708	11468	30	30	4.004694	20.02734	0.001	0.001	40.04693	0.001	18.381	20.405	6.91	0.001	145.026
4.1875	11771	30	30	4.034212	19.99951	0.001	0.001	40.34212	0.001	17.747	20.104	6.672	0.001	139.618
4.19792	12929	30	30	4.058293	20.10039	0.001	0.001	40.58293	0.001	17.566	21.425	6.604	0.001	136.669
4.20833	12195	30	30	4.089365	20.40303	0.001	0.001	40.89365	0.001	17.123	19.941	6.437	0.001	134.164
4.21875	13090	30	30	4.116553	20.82047	0.001	0.001	41.16553	0.001	17.031	20.978	6.403	0.001	132.3
4.22917	13414	30	30	4.186465	21.16834	0.001	0.001	41.86465	0.001	17.025	21.384	6.4	0.001	131.839
4.23958	13404	30	30	4.242395	21.6136	0.001	0.001	42.42395	0.001	16.995	21.334	6.389	0.001	131.623
4.25	12250	30	30	4.394649	22.1354	0.001	0.001	43.94649	0.001	16.595	19.395	6.239	0.001	129.961
4.26042	12275	30	30	4.877432	24.68178	0.001	0.001	48.77431	0.001	16.291	19.071	6.124	0.001	127.55
4.27083	11669	30	30	5.988648	29.65625	0.001	0.001	59.88648	0.001	15.848	17.832	5.958	0.001	124.803
4.28125	11895	30	30	7.146084	34.24807	0.001	0.001	71.46084	0.001	15.56	17.772	5.85	0.001	122.269
4.29167	11705	30	30	8.000567	37.93544	0.001	0.001	80.00567	0.001	15.252	17.202	5.734	0.001	120.062
4.30208	11843	30	30	9.490087	43.39692	0.001	0.001	94.90087	0.001	15.032	17.11	5.651	0.001	118.181
4.3125	12189	30	30	10.57761	46.61468	0.001	0.001	105.7761	0.001	14.947	17.401	5.619	0.001	117.123
4.32292	12669	30	30	11.52104	49.24802	0.001	0.001	115.2104	0.001	15.01	18.014	5.643	0.001	117.078
4.33333	12645	30	30	12.0011	49.99941	0.001	0.001	120.011	0.001	15.039	18.022	5.654	0.001	117.329
4.34375	12456	30	30	11.89701	49.24802	0.001	0.001	118.9701	0.001	15	17.762	5.639	0.001	117.236
4.35417	13219	30	30	11.21109	45.74154	0.001	0.001	112.1109	0.001	15.207	18.878	5.717	0.001	117.989
4.36458	13732	30	30	10.24553	40.85751	0.001	0.001	102.4553	0.001	15.53	19.877	5.838	0.001	119.896
4.375	16832	30	30	9.481154	39.03469	0.001	0.001	94.81153	0.001	16.371	24.76	6.155	0.001	122.58
4.38542	16830	30	30	8.837961	36.8501	0.001	0.001	88.37961	0.001	17.444	26.381	6.558	0.001	130.619
4.39583	21148	30	30	8.12874	34.24807	0.001	0.001	81.2874	0.001	19.714	36.196	7.411	0.001	141.229
4.40625	24560	30	30	7.57721	32.16088	0.001	0.001	75.7721	0.001	22.707	47.503	8.536	0.001	156.861
4.41667	23953	30	30	7.037332	30.77985	0.001	0.001	70.37332	0.001	25.05	51.263	9.417	0.001	174.185
4.42708	25904	30	30	6.827595	29.79539	0.001	0.001	68.27595	0.001	27.792	60.942	10.448	0.001	189.186
4.4375	27488	30	30	6.703307	29.23881	0.001	0.001	67.03307	0.001	30.715	71	11.547	0.001	205.435
4.44792	29553	30	30	6.676507	28.52221	0.001	0.001	66.76507	0.001	33.698	83.116	12.668	0.001	220.167
4.45833	29829	30	30	6.707967	27.95867	0.001	0.001	67.07967	0.001	36.307	90.302	13.649	0.001	236.459
4.46875	29837	30	30	6.808952	28.12564	0.001	0.001	68.08952	0.001	38.496	95.771	14.472	0.001	250.696
4.47917	29558	30	30	6.872261	27.55166	0.001	0.001	68.72261	0.001	40.216	99.208	15.119	0.001	262.74
4.48958	26139	30	30	6.831479	27.4647	0.001	0.001	68.31479	0.001	40.583	89.707	15.257	0.001	275.54
4.5	24930	30	30	6.516874	26.45589	0.001	0.001	65.16874	0.001	40.485	85.816	15.22	0.001	278.545
4.51042	24925	30	30	6.164516	26.1776	0.001	0.001	61.64516	0.001	40.283	85.375	15.144	0.001	277.172
4.52083	23924	30	30	5.976219	26.28891	0.001	0.001	59.76219	0.001	39.776	81.315	14.953	0.001	276.669
4.53125	23857	30	30	5.894655	26.78984	0.001	0.001	58.94655	0.001	39.639	80.833	14.902	0.001	275.914
4.54167	21088	30	30	5.938933	27.29076	0.001	0.001	59.38933	0.001	38.407	70.347	14.439	0.001	275.316
4.55208	24802	30	30	6.021274	27.12379	0.001	0.001	60.21274	0.001	39.014	82.325	14.667	0.001	268.8
4.5625	24220	30	30	6.242663	27.42295	0.001	0.001	62.42662	0.001	39.142	80.888	14.715	0.001	271.39
4.57292	22794	30	30	6.586786	28.33436	0.001	0.001	65.86786	0.001	38.664	75.764	14.535	0.001	272.215
4.58333	21983	30	30	6.561928	28.2787	0.001	0.001	65.61928	0.001	38.009	72.17	14.289	0.001	269.913
4.59375	19441	30	30	6.400353	27.7082	0.001	0.001	64.00353	0.001	36.508	62.359	13.725	0.001	266.215
4.60417	17806	30	30	5.954469	26.68548	0.001	0.001	59.54469	0.001	34.561	54.794	12.993	0.001	256.252
4.61458	23695	30	30	5.834064	26.57068	0.001	0.001	58.34064	0.001	35.605	72.177	13.385	0.001	248.267
4.625	21662	30	30	5.733857	26.62286	0.001	0.001	57.33857	0.001	35.407	66.375	13.311	0.001	252.284
4.63542	20152	30	30	5.86902	27.4647	0.001	0.001	58.6902	0.001	34.657	61.046	13.029	0.001	250.866
4.64583	21161	30	30	6.046908	28.33436	0.001	0.001	60.46908	0.001	34.489	63.359	12.966	0.001	247.038
4.65625	17348	30	30	6.325004	29.26664	0.001	0.001	63.25004	0.001	32.843	50.943	12.347	0.001	244.641
4.66667	16651	30	30	6.237225	30.63027	0.001	0.001	62.37225	0.001	31.184	46.74	11.723	0.001	233.915
4.67708	18264	30	30	6.221689	30.58853	0.001	0.001	62.21689	0.001	30.511	49.422	11.47	0.001	225.174
4.6875	18220	30	30	6.201492	28.16043	0.001	0.001	62.01492	0.001	29.886	48.31	11.235	0.001	220.667
4.69792	18613	30	30	6.641162	29.79539	0.001	0.001	66.41162	0.001	29.675	48.844	11.156	0.001	218.229
4.70833	18056	30	30	6.718843	29.82322	0.001	0.001	67.18843	0.001	29.235	46.899	10.991	0.001	216.221
4.71875	17578	30	30	6.847015	30.30328	0.001	0.001	68.47015	0.001	28.692	45	10.787	0.001	213.231
4.72917	17335	30	30	7.188808	32.13305	0.001	0.001	71.88808	0.001	27.985	43.38	10.521	0.001	208.481
4.73958	17638	30	30	7.564393	33.77149	0.001	0.001	75.64392	0.001	27.712	43.586	10.418	0.001	205.818
4.75	17744	30	30	7.744222	34.30373	0.001	0.001	77.44222	0.001	27.496	43.465	10.337	0.001	203.997
4.76042	17747	30	30	8.008335	35.63953	0.001	0.001	80.08335	0.001	27.301	43.165	10.264	0.001	202.546
4.77083	17733	30	30	8.260408	36.06393	0.001	0.001	82.60408	0.001	27.126	42.858	10.198	0.001	201.278
4.78125	21738	30	30	8.383531	35.93174	0.001	0.001	83.83531	0.001	28.417	53.433	10.683	0.001	202.319
4.79167	21176	30	30	8.421983	35.45168	0.001	0.001	84.21983	0.001	29.159	53.6	10.962	0.001	208.832
4.80208	20749	30	30	8.3377	35.69519	0.001	0.001	83.377	0.001	29.614	53.488	11.133	0.001	213.041
4.8125	21158	30	30	8.199584	35.62561	0.001	0.001	81.99584	0.001	30.169	55.415	11.342	0.001	216.105
4.82292	17930	30	30	8.014161	35.37863	0.001	0.001	80.14161	0.001	29.449	46.963	11.071	0.001	218.076
4.83333	19535	30	30	7.775295	34.9438	0.001	0.001	77.75294	0.001	29.567	50.711	11.115	0.001	215.391
4.84375	22636	30	30	7.562451	34.14371	0.001	0.001	75.6245	0.001	30.789	59.968	11.575	0.001	217.135
4.85417	21182	30	30	7.187255	32.70355	0.001	0.001	71.87255	0.001	31.157	57.288	11.713	0.001	223.124
4.86458	21436	30	30	6.945669	31.46515	0.001	0.001	69.45669	0.001	31.583	58.673	11.873	0.001	225.578
